_Nb Properties (Expression),Amenities,Bathrooms,Bedrooms,City,Country,Date,Latitude,Longitude,Main Date: Month,Main Date: Month (Display),Main Date: Year,Profile,Property,Property Id,Property Type,Zip Code,_Max Theoretical Revenue (Expression),_Total Expenses (Expression),_Total Revenue (Expression),Expenses % ,Expenses %   MTD   (Current Month),Expenses %   MTD   (Previous Month),Gross Rental Yield,Gross Rental Yield  MTD   (Current Month),Gross Rental Yield  MTD   (Previous Month),Gross Rental Yield  MTD  (Previous Year),Gross Rental Yield  YTD  (Current Year),Indicator,Living Space,Max Theoretical Revenue,Monthly Expenses,Monthly Rent,Monthly Revenue,Nb Properties,Net Rental Yield,Net Rental Yield  MTD   (Current Month),Net Rental Yield  MTD   (Previous Month),Net Rental Yield  MTD  (Previous Year),Net Rental Yield  YTD  (Current Year),Net Rental Yield  YTD  (Previous Year),Net Rental Yield Perf. -  Value,Net Rental Yield Perf. - Reference,Net Rental Yield Perf. - Value vs Reference,Net Rental Yield Perf. - Value vs Reference %,Net Rental Yield Perf. - Value vs Reference (pt),Net Rental Yield Perf. - Value vs Reference (shape),Net Revenue,Net Revenue  MTD   (Current Month),Net Revenue  MTD   (Previous Month),Net Revenue  MTD  (Previous Year),Net Revenue  YTD  (Current Year),Net Revenue  YTD  (Previous Year),Net Revenue Perf. -  Value,Net Revenue Perf. - Reference,Net Revenue Perf. - Value vs Reference,Net Revenue Perf. - Value vs Reference %,Net Revenue Perf. - Value vs Reference (shape),Occupancy Rate,Placeholder (num),Property Class Yield ,Property Cost,Total Expenses,Total Expenses  MTD   (Current Month),Total Expenses  MTD   (Previous Month),Total Expenses  MTD  (Previous Year),Total Expenses  YTD  (Current Year),Total Expenses  YTD  (Previous Year),Total Expenses Perf. -  Value,Total Expenses Perf. - Reference,Total Expenses Perf. - Value vs Reference,Total Expenses Perf. - Value vs Reference %,Total Expenses Perf. - Value vs Reference (shape),Total Revenue,Total Revenue  MTD   (Current Month),Total Revenue  MTD   (Previous Month),Total Revenue  MTD  (Previous Year),Total Revenue  YTD  (Current Year),Total Revenue  YTD  (Previous Year),Total Revenue Perf. -  Value,Total Revenue Perf. - Reference,Total Revenue Perf. - Value vs Reference
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,5/1/2023,37.72335117,-122.4740813,5,May,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,,,9.70%,,,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,,,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ",$0 ,$0 ,$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,,,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ",,,,"$4,032 ",,"$4,032 ",,"$4,032 "
"Apt. 961,  Spring Susan Islands",High-End,1 bathroom,2 bedrooms,San Francisco,US,4/1/2023,37.72335117,-122.4740813,4,Apr,2023,Furnished Apt-High-End-2 Bed.,"Apt. 961,  Spring Susan Islands",3,Furnished Apartment,94132,4032,937.63,4032,23.30%,,,9.70%,,,,9.70%,3094.37,742,"$4,032 ",937.63,4032,4032,1,7.40%,,,,7.40%,,7.40%,,7.40%,,,▲,"$3,094 ",$0 ,$0 ,$0 ,"$3,094 ",$0 ,"$3,094 ",$0 ,"$3,094 ",,▲,100%,0,HIGH YIELD,499791,$938 ,,,,$938 ,,$938 ,,$938 ,,▲,"$4,032 ",,,,"$4,032 ",,"$4,032 ",,"$4,032 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,9/1/2023,37.75104587,-122.4540678,9,Sep,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,21.70%,,13.40%,13.40%,,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,10.50%,,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ","$3,558 ",$0 ,$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,$984 ,,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ","$4,542 ",,,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,8/1/2023,37.75104587,-122.4540678,8,Aug,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,,21.70%,13.40%,,13.40%,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,,10.50%,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,,$984 ,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ",,"$4,542 ",,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,7/1/2023,37.75104587,-122.4540678,7,Jul,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,,,13.40%,,,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,,,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ",$0 ,$0 ,$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,,,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ",,,,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,6/1/2023,37.75104587,-122.4540678,6,Jun,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,,,13.40%,,,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,,,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ",$0 ,$0 ,$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,,,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ",,,,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,5/1/2023,37.75104587,-122.4540678,5,May,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,,,13.40%,,,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,,,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ",$0 ,$0 ,$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,,,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ",,,,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 534,  Parkways Mark Keys",Standard,3 bathrooms,3 bedrooms,San Francisco,US,4/1/2023,37.75104587,-122.4540678,4,Apr,2023,Apt-Std-3 Bed.,"Apt. 534,  Parkways Mark Keys",5,Apartment,94131,4542,984.03,4542,21.70%,,,13.40%,,,,13.40%,3557.97,742,"$4,542 ",984.03,4542,4542,1,10.50%,,,,10.50%,,10.50%,,10.50%,,,▲,"$3,558 ",$0 ,$0 ,$0 ,"$3,558 ",$0 ,"$3,558 ",$0 ,"$3,558 ",,▲,100%,0,HIGH YIELD,406049,$984 ,,,,$984 ,,$984 ,,$984 ,,▲,"$4,542 ",,,,"$4,542 ",,"$4,542 ",,"$4,542 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,9/1/2023,37.77573127,-122.4098747,9,Sep,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,35.50%,,7.00%,7.00%,,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,4.50%,,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ","$3,842 ",$0 ,$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ","$2,119 ",,,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ","$5,961 ",,,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,8/1/2023,37.77573127,-122.4098747,8,Aug,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,,35.50%,7.00%,,7.00%,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,,4.50%,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ",,"$2,119 ",,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ",,"$5,961 ",,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,7/1/2023,37.77573127,-122.4098747,7,Jul,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,,,7.00%,,,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,,,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ",$0 ,$0 ,$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ",,,,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ",,,,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,6/1/2023,37.77573127,-122.4098747,6,Jun,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,,,7.00%,,,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,,,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ",$0 ,$0 ,$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ",,,,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ",,,,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,5/1/2023,37.77573127,-122.4098747,5,May,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,,,7.00%,,,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,,,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ",$0 ,$0 ,$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ",,,,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ",,,,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 447,  Greens Perry Burgs",Luxurious,1 bathroom,3 bedrooms,San Francisco,US,4/1/2023,37.77573127,-122.4098747,4,Apr,2023,Apt-Lux-3 Bed.,"Apt. 447,  Greens Perry Burgs",7,Apartment,94103,5961,2118.7,5961,35.50%,,,7.00%,,,,7.00%,3842.3,764,"$5,961 ",2118.7,5961,5961,1,4.50%,,,,4.50%,,4.50%,,4.50%,,,▲,"$3,842 ",$0 ,$0 ,$0 ,"$3,842 ",$0 ,"$3,842 ",$0 ,"$3,842 ",,▲,100%,0,LOW YIELD,1017158,"$2,119 ",,,,"$2,119 ",,"$2,119 ",,"$2,119 ",,▲,"$5,961 ",,,,"$5,961 ",,"$5,961 ",,"$5,961 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,9/1/2023,37.75336296,-122.4043341,9,Sep,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,24.40%,,9.30%,9.30%,,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,7.00%,,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ","$5,059 ",$0 ,$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ","$1,634 ",,,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ","$6,693 ",,,"$6,693 ",,"$6,693 ",,"$6,693 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,8/1/2023,37.75336296,-122.4043341,8,Aug,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,,24.40%,9.30%,,9.30%,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,,7.00%,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ",,"$1,634 ",,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ",,"$6,693 ",,"$6,693 ",,"$6,693 ",,"$6,693 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,7/1/2023,37.75336296,-122.4043341,7,Jul,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,,,9.30%,,,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,,,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ",$0 ,$0 ,$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ",,,,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ",,,,"$6,693 ",,"$6,693 ",,"$6,693 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,6/1/2023,37.75336296,-122.4043341,6,Jun,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,,,9.30%,,,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,,,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ",$0 ,$0 ,$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ",,,,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ",,,,"$6,693 ",,"$6,693 ",,"$6,693 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,5/1/2023,37.75336296,-122.4043341,5,May,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,,,9.30%,,,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,,,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ",$0 ,$0 ,$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ",,,,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ",,,,"$6,693 ",,"$6,693 ",,"$6,693 "
"Apt. 270,  Junctions Adams Lake",Mid-Range,1 bathroom,3 bedrooms,San Francisco,US,4/1/2023,37.75336296,-122.4043341,4,Apr,2023,Apt-Mid-Range-3 Bed.,"Apt. 270,  Junctions Adams Lake",12,Apartment,94110,6693,1634.34,6693,24.40%,,,9.30%,,,,9.30%,5058.66,742,"$6,693 ",1634.34,6693,6693,1,7.00%,,,,7.00%,,7.00%,,7.00%,,,▲,"$5,059 ",$0 ,$0 ,$0 ,"$5,059 ",$0 ,"$5,059 ",$0 ,"$5,059 ",,▲,100%,0,HIGH YIELD,865753,"$1,634 ",,,,"$1,634 ",,"$1,634 ",,"$1,634 ",,▲,"$6,693 ",,,,"$6,693 ",,"$6,693 ",,"$6,693 "
"Suite 255,  Course Obrien Isle",Luxurious,2 bathrooms,3 bedrooms,San Francisco,US,9/1/2023,37.77617703,-122.4279219,9,Sep,2023,Apt-Lux-3 Bed.,"Suite 255,  Course Obrien Isle",13,Apartment,94102,6576,3016.84,6576,45.90%,45.90%,,6.70%,6.70%,,,6.70%,3559.16,731,"$6,576 ",3016.84,6576,6576,1,3.60%,3.60%,,,3.60%,,3.60%,,3.60%,,,▲,"$3,559 ","$3,559 ",$0 ,$0 ,"$3,559 ",$0 ,"$3,559 ",$0 ,"$3,559 ",,▲,100%,0,LOW YIELD,1175753,"$3,017 ","$3,017 ",,,"$3,017 ",,"$3,017 ",,"$3,017 ",,▲,"$6,576 ","$6,576 ",,,"$6,576 ",,"$6,576 ",,"$6,576 "
